# Event	Field	Star No	RA (J2000)	Dec (J2000)	Tmax (HJD)	Tmax (UT)	tau	Umin	Amax
2011-BLG-0216	BLG505.06	 164177	17:55:59.03	-29:35:25.5	2455674.827	2011-04-23.33	40.608	1.011	1.334
2011-BLG-0217	BLG505.07	 211797	17:55:11.11	-29:36:59.9	2455678.982	2011-04-27.48	18.701	1.209	1.225
2011-BLG-0218	BLG506.02	 145789	17:58:40.61	-30:47:26.8	2455665.660	2011-04-14.16	18.110	0.233	4.380
2011-BLG-0219	BLG511.09	 166985	18:04:56.64	-27:32:44.2	2455670.206	2011-04-18.71	45.445	0.645	1.781
2011-BLG-0220	BLG513.19	 530	18:04:52.17	-29:49:46.4	2455654.583	2011-04-03.08	0.401	0.000	5015.
2011-BLG-0221	BLG534.11	 72264	17:52:36.28	-31:08:45.3	2455722.169	2011-06-09.67	86.648	0.087	11.56
2011-BLG-0222	BLG611.08	 68996	17:38:23.60	-27:11:27.1	2455658.165	2011-04-06.67	10.698	0.056	17.81
2011-BLG-0223	BLG611.19	 75377	17:37:00.94	-26:54:59.1	2455758.551	2011-07-16.05	190.745	1.568	1.119
2011-BLG-0224	BLG611.23	 85130	17:34:11.24	-26:52:11.7	2455669.490	2011-04-17.99	92.887	0.231	4.408
2011-BLG-0225	BLG504.19	 213654	17:58:42.20	-27:42:47.0	2455667.483	2011-04-15.98	29.150	0.363	2.891
2011-BLG-0226	BLG505.24	 87900	17:55:26.53	-29:00:06.0	2455703.303	2011-05-21.80	52.842	0.811	1.519
2011-BLG-0227	BLG512.21	 110629	18:03:11.06	-28:19:20.7	2455669.864	2011-04-18.36	26.169	1.850	1.076
2011-BLG-0228	BLG611.03	 136009	17:35:57.15	-27:34:39.3	2455690.041	2011-05-08.54	35.380	0.832	1.494
2011-BLG-0229	BLG501.01	 28090	17:54:20.92	-30:13:27.4	2455660.911	2011-04-09.41	4.320	0.578	1.940
2011-BLG-0230	BLG501.07	 53328	17:49:37.88	-30:26:08.5	2455686.795	2011-05-05.29	55.778	0.119	8.468
2011-BLG-0231	BLG504.05	 221047	17:56:34.90	-28:22:54.4	2455681.393	2011-04-29.89	33.927	0.376	2.797
2011-BLG-0232	BLG504.28	 157548	17:58:14.42	-27:25:13.2	2455661.259	2011-04-09.76	8.520	0.289	3.563
2011-BLG-0233	BLG505.24	 86728	17:55:28.05	-28:59:33.7	2455658.744	2011-04-07.24	4.032	0.027	37.19
2011-BLG-0234	BLG506.25	 117373	17:54:20.93	-30:13:27.4	2455660.989	2011-04-09.49	7.206	0.277	3.714
2011-BLG-0235	BLG511.12	 12163	18:03:18.22	-27:34:52.6	2455675.960	2011-04-24.46	64.600	0.038	26.53
2011-BLG-0236	BLG512.28	 126113	18:03:38.67	-28:13:38.2	2455657.529	2011-04-06.03	1.690	0.701	1.677
2011-BLG-0237	BLG611.01	 10903	17:37:53.96	-27:41:17.6	2455658.986	2011-04-07.49	1.338	0.239	4.273
2011-BLG-0238	BLG611.13	 89484	17:34:53.17	-27:10:14.4	2455695.437	2011-05-13.94	79.032	0.279	3.685
2011-BLG-0239	BLG504.06	 63465	17:56:10.37	-28:34:06.9	2455653.386	2011-04-01.89	20.986	0.861	1.463
2011-BLG-0240	BLG505.19	 76460	17:59:05.56	-29:08:58.6	2455659.786	2011-04-08.29	7.271	0.036	27.58
2011-BLG-0241	BLG514.12	 95377	18:03:10.18	-31:11:22.0	2455726.405	2011-06-13.90	40.663	0.852	1.472
2011-BLG-0242	BLG534.30	 33280	17:51:25.27	-30:27:23.3	2455664.689	2011-04-13.19	19.345	0.174	5.802
2011-BLG-0243	BLG500.02	 97235	17:53:34.76	-28:57:42.7	2455713.822	2011-06-01.32	27.318	0.698	1.683
2011-BLG-0244	BLG500.03	 95590	17:52:46.00	-28:58:58.5	2455663.494	2011-04-11.99	2.823	0.290	3.560
2011-BLG-0245	BLG501.05	 1681	17:51:25.26	-30:27:23.3	2455664.897	2011-04-13.40	12.461	0.266	3.853
2011-BLG-0246	BLG506.07	 134246	17:55:11.05	-30:51:40.3	2455669.688	2011-04-18.19	14.389	1.144	1.256
2011-BLG-0247	BLG512.12	 57831	18:03:09.61	-28:53:41.1	2455663.085	2011-04-11.59	0.622	1.712	1.094
2011-BLG-0248	BLG512.15	 208811	18:00:37.96	-28:41:41.7	2455724.819	2011-06-12.32	34.300	2.210	1.045
2011-BLG-0249	BLG534.09	 159788	17:53:44.04	-31:10:41.6	2455666.806	2011-04-15.31	2.240	0.940	1.388
2011-BLG-0250	BLG534.24	 50427	17:49:42.07	-30:47:50.7	2455730.006	2011-06-17.51	56.602	1.650	1.104
2011-BLG-0251	BLG611.17	 68000	17:38:14.18	-27:08:10.1	2455781.406	2011-08-07.91	63.017	0.057	17.48
2011-BLG-0252	BLG504.03	 90805	17:58:19.37	-28:25:29.8	2455664.717	2011-04-13.22	1.896	0.401	2.645
2011-BLG-0253	BLG511.02	 16558	18:04:37.54	-27:51:34.1	2455666.698	2011-04-15.20	7.592	1.029	1.322
2011-BLG-0254	BLG511.23	 54543	18:01:42.57	-27:12:31.1	2455666.496	2011-04-15.00	62.235	0.018	56.45
2011-BLG-0255	BLG512.12	 60498	18:03:15.29	-28:53:53.8	2455676.677	2011-04-25.18	19.731	0.933	1.394
2011-BLG-0256	BLG534.28	 74952	17:52:38.18	-30:33:09.1	2455666.548	2011-04-15.05	1.976	1.352	1.173
2011-BLG-0257	BLG505.20	 70403	17:58:20.03	-29:08:48.8	2455665.380	2011-04-13.88	3.889	0.678	1.718
2011-BLG-0258	BLG511.19	 30344	18:04:42.03	-27:10:23.2	2455671.431	2011-04-19.93	7.545	1.842	1.077
2011-BLG-0259	BLG512.22	 190032	18:02:10.03	-28:29:26.5	2455683.407	2011-05-01.91	18.507	0.822	1.505
2011-BLG-0260	BLG534.21	 67060	17:52:01.11	-30:54:59.4	2455698.393	2011-05-16.89	29.664	0.127	7.951
2011-BLG-0261	BLG611.31	 139573	17:33:57.73	-26:44:59.6	2455673.506	2011-04-22.01	21.895	0.421	2.530
2011-BLG-0262	BLG501.09	 139791	17:54:03.57	-29:59:55.7	2455663.950	2011-04-12.45	11.865	0.069	14.59
2011-BLG-0263	BLG504.05	 224805	17:56:34.85	-28:22:54.2	2455681.351	2011-04-29.85	38.636	0.285	3.614
2011-BLG-0264	BLG504.13	 111555	17:56:49.23	-28:16:28.7	2455672.523	2011-04-21.02	5.898	0.437	2.451
2011-BLG-0265	BLG504.29	 40131	17:57:47.72	-27:23:40.3	2455758.923	2011-07-16.42	58.304	0.127	7.928
2011-BLG-0266	BLG505.02	 5385	17:59:17.82	-29:48:02.4	2455694.453	2011-05-12.95	14.631	0.664	1.745
2011-BLG-0267	BLG505.04	 105314	17:57:35.79	-29:36:08.5	2455681.419	2011-04-29.92	13.395	0.204	4.976
2011-BLG-0268	BLG505.14	 70746	17:56:13.53	-29:25:21.9	2455667.863	2011-04-16.36	5.180	0.451	2.382
2011-BLG-0269	BLG506.15	 115300	17:55:07.87	-30:45:03.2	2455665.694	2011-04-14.19	11.855	1.031	1.320
2011-BLG-0270	BLG506.19	 105807	17:58:54.82	-30:18:54.2	2455673.755	2011-04-22.25	8.207	0.217	4.689
2011-BLG-0271	BLG506.22	 155797	17:56:32.13	-30:09:57.6	2455689.613	2011-05-08.11	12.782	1.116	1.270
2011-BLG-0272	BLG506.24	 91816	17:55:10.73	-30:24:33.6	2455686.623	2011-05-05.12	36.567	0.284	3.624
2011-BLG-0273	BLG511.03	 81774	18:03:49.29	-27:44:06.5	2455680.471	2011-04-28.97	4.331	0.518	2.119
2011-BLG-0274	BLG512.24	 111495	18:00:48.13	-28:35:37.0	2455701.404	2011-05-19.90	36.029	0.756	1.591
2011-BLG-0275	BLG534.03	 93028	17:52:31.92	-31:29:22.0	2455667.963	2011-04-16.46	16.219	1.129	1.263
2011-BLG-0276	BLG534.29	 113555	17:51:50.52	-30:35:21.1	2455668.478	2011-04-16.98	1.277	0.633	1.807
2011-BLG-0277	BLG611.29	 111364	17:35:24.80	-26:43:13.0	2455671.711	2011-04-20.21	8.645	0.383	2.753
2011-BLG-0278	BLG500.08	 69890	17:54:55.98	-28:46:46.0	2455688.926	2011-05-07.43	24.039	0.565	1.975
2011-BLG-0279	BLG504.10	 64405	17:58:58.08	-28:12:37.3	2455674.472	2011-04-22.97	6.305	0.000	15126
2011-BLG-0280	BLG505.05	 174668	17:56:33.43	-29:49:18.9	2455674.990	2011-04-23.49	21.746	0.290	3.555
2011-BLG-0281	BLG505.21	 45992	17:57:53.25	-28:57:39.5	2455671.636	2011-04-20.14	4.916	0.169	5.967
2011-BLG-0282	BLG506.24	 2372	17:55:37.39	-30:25:42.1	2455671.750	2011-04-20.25	18.177	0.173	5.840
2011-BLG-0283	BLG500.21	 106888	17:51:41.21	-28:32:26.0	2455673.499	2011-04-22.00	11.224	1.792	1.083
2011-BLG-0284	BLG501.26	 33361	17:54:17.54	-29:18:17.0	2455671.130	2011-04-19.63	0.350	0.437	2.447
2011-BLG-0285	BLG505.07	 203315	17:55:13.09	-29:39:37.0	2455680.572	2011-04-29.07	40.292	0.245	4.179
2011-BLG-0286	BLG506.22	 77137	17:56:50.67	-30:10:28.3	2455680.125	2011-04-28.62	12.972	0.093	10.74
2011-BLG-0287	BLG501.11	 33124	17:52:50.38	-29:56:10.2	2455768.943	2011-07-26.44	85.229	1.228	1.217
2011-BLG-0288	BLG505.06	 180566	17:55:54.07	-29:48:07.7	2455682.982	2011-05-01.48	7.090	1.025	1.324
2011-BLG-0289	BLG500.12	 56380	17:52:10.18	-28:50:01.5	2455679.573	2011-04-28.07	26.454	0.503	2.173
2011-BLG-0290	BLG500.18	 83464	17:54:09.06	-28:23:58.2	2455681.804	2011-04-30.30	17.670	0.024	41.90
2011-BLG-0291	BLG500.30	 30236	17:51:20.98	-28:11:42.9	2455678.048	2011-04-26.55	7.633	0.202	5.031
2011-BLG-0292	BLG501.08	 142144	17:54:43.21	-29:55:15.3	2455735.099	2011-06-22.60	43.817	1.485	1.137
2011-BLG-0293	BLG501.09	 59970	17:54:08.47	-30:06:11.7	2455714.234	2011-06-01.73	37.161	0.339	3.074
2011-BLG-0294	BLG501.14	 65663	17:50:30.07	-29:51:38.2	2455679.412	2011-04-27.91	10.038	0.241	4.246
2011-BLG-0295	BLG505.20	 152276	17:58:10.28	-29:02:22.2	2455685.356	2011-05-03.86	22.453	0.799	1.533
2011-BLG-0296	BLG506.06	 73962	17:56:07.98	-30:53:41.3	2455677.042	2011-04-25.54	19.651	0.294	3.512
2011-BLG-0297	BLG506.21	 140270	17:57:19.09	-30:20:45.3	2455700.624	2011-05-19.12	45.977	0.038	26.06
2011-BLG-0298	BLG514.06	 34544	18:01:59.14	-31:25:38.0	2455689.337	2011-05-07.84	29.931	0.287	3.588
2011-BLG-0299	BLG611.17	 91711	17:38:19.01	-26:59:10.7	2455698.102	2011-05-16.60	49.420	0.076	13.25
2011-BLG-0300	BLG500.12	 79813	17:51:49.77	-28:54:05.8	2455674.586	2011-04-23.09	8.431	1.842	1.077
2011-BLG-0301	BLG501.08	 174728	17:54:32.66	-30:06:09.6	2455704.565	2011-05-23.07	34.683	0.177	5.721
2011-BLG-0302	BLG501.27	 97145	17:53:25.08	-29:15:52.4	2455678.296	2011-04-26.80	0.754	0.148	6.791
2011-BLG-0303	BLG501.31	 13158	17:50:49.61	-29:20:50.1	2455678.398	2011-04-26.90	16.934	0.055	18.07
2011-BLG-0304	BLG505.26	 174867	17:59:29.09	-28:48:41.7	2455681.517	2011-04-30.02	12.084	1.986	1.062
2011-BLG-0305	BLG506.01	 93155	17:59:33.00	-30:51:41.2	2455703.690	2011-05-22.19	40.268	0.124	8.085
2011-BLG-0306	BLG511.01	 158745	18:04:52.01	-27:50:51.0	2455694.696	2011-05-13.20	28.095	0.779	1.559
2011-BLG-0307	BLG511.21	 56108	18:03:09.01	-27:09:00.2	2455836.045	2011-10-01.54	215.074	0.088	11.39
2011-BLG-0308	BLG512.18	 123904	18:05:04.98	-28:31:43.9	2455681.486	2011-04-29.99	11.532	0.034	29.04
2011-BLG-0309	BLG500.27	 72858	17:53:20.34	-28:15:14.3	2455689.888	2011-05-08.39	17.324	0.089	11.33
2011-BLG-0310	BLG501.05	 3898	17:51:25.39	-30:24:35.0	2455809.661	2011-09-05.16	102.376	0.086	11.68
2011-BLG-0311	BLG501.12	 139592	17:51:38.83	-30:08:15.4	2455602.030	2011-02-09.53	2.034	0.169	5.991
2011-BLG-0312	BLG501.13	 138484	17:50:57.19	-30:01:07.5	2455685.611	2011-05-04.11	10.679	0.301	3.431
2011-BLG-0313	BLG501.29	 124922	17:51:39.01	-29:25:23.5	2455708.217	2011-05-26.72	19.499	1.189	1.234
2011-BLG-0314	BLG505.27	 153495	17:58:49.39	-28:44:26.4	2455688.181	2011-05-06.68	28.122	0.762	1.583
2011-BLG-0315	BLG513.22	 135220	18:02:07.87	-29:36:59.5	2455779.513	2011-08-06.01	146.527	1.636	1.106
2011-BLG-0316	BLG534.28	 12567	17:52:54.27	-30:39:30.3	2455688.291	2011-05-06.79	6.535	1.535	1.126
2011-BLG-0317	BLG504.13	 208201	17:56:35.00	-28:04:57.8	2455682.612	2011-05-01.11	8.516	1.541	1.124
2011-BLG-0318	BLG505.16	 108323	17:54:37.10	-29:28:21.7	2455682.099	2011-04-30.60	1.057	0.467	2.313
2011-BLG-0319	BLG506.06	 74019	17:56:08.03	-30:53:41.7	2455676.763	2011-04-25.26	10.292	0.714	1.655
2011-BLG-0320	BLG506.27	 181648	17:58:42.94	-29:58:51.5	2455700.403	2011-05-18.90	20.372	1.230	1.216
2011-BLG-0321	BLG506.29	 15937	17:57:44.11	-29:59:21.4	2455683.512	2011-05-02.01	12.598	0.369	2.850
2011-BLG-0322	BLG512.13	 208758	18:02:09.89	-28:41:47.4	2455792.997	2011-08-19.50	146.772	1.782	1.084
2011-BLG-0323	BLG513.01	 88368	18:05:13.21	-30:10:24.3	2455683.636	2011-05-02.14	6.611	0.151	6.659
2011-BLG-0324	BLG514.14	 8855	18:02:04.79	-31:18:37.1	2455681.755	2011-04-30.25	18.296	0.718	1.648
2011-BLG-0325	BLG514.27	 42753	18:04:38.92	-30:44:11.1	2455687.870	2011-05-06.37	34.773	0.080	12.58
2011-BLG-0326	BLG611.03	 121786	17:36:04.23	-27:42:04.9	2455684.249	2011-05-02.75	8.414	0.162	6.246
2011-BLG-0327	BLG611.11	 63147	17:36:19.81	-27:22:34.3	2455682.516	2011-05-01.02	9.444	0.477	2.272
2011-BLG-0328	BLG501.18	 85807	17:54:13.78	-29:39:56.7	2455682.682	2011-05-01.18	0.575	0.782	1.556
2011-BLG-0329	BLG504.08	 76904	18:00:28.26	-28:08:26.1	2455691.899	2011-05-10.40	12.076	0.004	272.9
2011-BLG-0330	BLG504.13	 40943	17:57:04.21	-28:03:31.6	2455713.692	2011-06-01.19	30.091	0.756	1.591
2011-BLG-0331	BLG505.04	 11382	17:57:47.13	-29:47:02.0	2455697.439	2011-05-15.94	51.957	0.434	2.462
2011-BLG-0332	BLG505.10	 62845	17:59:03.11	-29:27:08.1	2455681.881	2011-04-30.38	0.055	0.792	1.542
2011-BLG-0333	BLG512.05	 90561	18:02:29.89	-29:01:58.4	2455692.701	2011-05-11.20	17.838	0.972	1.363
2011-BLG-0334	BLG501.15	 70861	17:49:31.95	-30:06:00.6	2455686.060	2011-05-04.56	17.373	0.081	12.44
2011-BLG-0335	BLG501.26	 32556	17:54:17.31	-29:19:24.7	2455687.076	2011-05-05.58	10.969	0.123	8.166
2011-BLG-0336	BLG505.30	 156045	17:56:42.76	-28:36:59.9	2455688.629	2011-05-07.13	11.679	0.671	1.731
2011-BLG-0337	BLG611.18	 158367	17:37:27.26	-26:57:06.3	2455687.013	2011-05-05.51	22.868	0.717	1.651
2011-BLG-0338	BLG504.05	 93434	17:56:56.01	-28:24:00.5	2455693.415	2011-05-11.91	54.666	0.046	21.73
2011-BLG-0339	BLG504.17	 205788	18:00:09.31	-27:45:12.4	2455706.903	2011-05-25.40	27.804	0.240	4.263
2011-BLG-0340	BLG506.28	 86623	17:58:19.25	-29:55:54.4	2455693.597	2011-05-12.10	13.766	0.754	1.594
2011-BLG-0341	BLG506.31	 146466	17:55:49.28	-30:03:42.6	2455799.320	2011-08-25.82	115.162	0.272	3.783
2011-BLG-0342	BLG511.09	 59492	18:05:10.46	-27:36:32.9	2455682.978	2011-05-01.48	13.327	1.181	1.237
2011-BLG-0343	BLG511.11	 74801	18:03:52.25	-27:30:14.3	2455684.509	2011-05-03.01	10.170	0.239	4.275
2011-BLG-0344	BLG512.08	 144824	18:05:52.00	-28:36:54.2	2455736.677	2011-06-24.18	81.461	0.152	6.618
2011-BLG-0345	BLG512.13	 63681	18:02:23.53	-28:50:53.6	2455724.712	2011-06-12.21	47.571	0.051	19.48
2011-BLG-0346	BLG512.21	 198435	18:02:51.37	-28:29:01.3	2455685.753	2011-05-04.25	7.155	0.070	14.33
2011-BLG-0347	BLG611.18	 161883	17:37:27.28	-26:57:07.0	2455687.673	2011-05-06.17	28.607	0.434	2.466
2011-BLG-0348	BLG501.01	 115879	17:53:57.12	-30:18:10.8	2455713.611	2011-06-01.11	18.999	0.464	2.326
2011-BLG-0349	BLG501.08	 220503	17:54:33.83	-29:51:18.8	2455687.940	2011-05-06.44	8.848	0.236	4.331
2011-BLG-0350	BLG501.26	 34442	17:54:19.84	-29:19:19.3	2455688.448	2011-05-06.95	8.460	0.110	9.119
2011-BLG-0351	BLG504.12	 43267	17:57:49.31	-28:01:57.8	2455695.253	2011-05-13.75	30.442	0.291	3.544
2011-BLG-0352	BLG504.20	 178142	17:58:02.05	-27:48:34.0	2455702.909	2011-05-21.41	23.719	0.105	9.596
2011-BLG-0353	BLG505.29	 140965	17:57:28.58	-28:45:45.7	2455689.652	2011-05-08.15	9.982	0.050	20.19
2011-BLG-0354	BLG506.18	 156857	17:59:28.55	-30:17:13.9	2455713.210	2011-05-31.71	23.190	0.939	1.389
2011-BLG-0355	BLG511.17	 76334	18:05:57.15	-27:10:12.0	2455713.040	2011-05-31.54	46.362	0.213	4.767
2011-BLG-0356	BLG514.15	 101985	18:01:00.90	-31:09:37.5	2455712.888	2011-05-31.39	15.185	0.657	1.759
2011-BLG-0357	BLG534.23	 112782	17:50:08.98	-30:53:40.3	2455688.656	2011-05-07.16	6.254	1.639	1.106
2011-BLG-0358	BLG512.24	 123521	18:00:56.02	-28:33:46.4	2455687.018	2011-05-05.52	0.912	0.618	1.842
2011-BLG-0359	BLG513.17	 81261	18:05:47.41	-29:42:08.8	2455686.859	2011-05-05.36	1.671	0.575	1.949
2011-BLG-0360	BLG534.26	 72114	17:54:03.86	-30:31:31.9	2455689.025	2011-05-07.53	9.954	1.088	1.285
2011-BLG-0361	BLG611.11	 119658	17:36:12.02	-27:20:28.6	2455686.667	2011-05-05.17	0.466	0.023	43.68
2011-BLG-0362	BLG504.11	 81953	17:58:17.46	-28:05:59.4	2455702.803	2011-05-21.30	22.542	1.564	1.120
2011-BLG-0363	BLG500.03	 51879	17:52:51.29	-29:12:54.6	2455690.746	2011-05-09.25	4.403	0.964	1.368
2011-BLG-0364	BLG506.16	 54710	17:54:48.50	-30:32:24.6	2455703.190	2011-05-21.69	4.769	0.701	1.677
2011-BLG-0365	BLG506.28	 142890	17:58:07.60	-29:55:42.9	2455692.224	2011-05-10.72	21.025	0.172	5.888
2011-BLG-0366	BLG611.28	 102276	17:36:10.51	-26:39:32.7	2455704.295	2011-05-22.80	12.934	1.618	1.109
2011-BLG-0367	BLG500.17	 53866	17:54:57.85	-28:30:45.5	2455707.678	2011-05-26.18	11.284	0.022	45.73
2011-BLG-0368	BLG500.18	 62443	17:54:09.76	-28:31:45.4	2455695.297	2011-05-13.80	26.653	0.095	10.56
2011-BLG-0369	BLG501.10	 169420	17:53:20.50	-29:52:01.9	2455690.717	2011-05-09.22	2.322	0.013	75.72
2011-BLG-0370	BLG501.32	 9221	17:50:07.25	-29:20:50.8	2455783.099	2011-08-09.60	5.719	1.871	1.073
2011-BLG-0371	BLG512.16	 190924	18:00:01.27	-28:48:20.5	2455692.070	2011-05-10.57	3.636	0.323	3.214
2011-BLG-0373	BLG504.05	 29230	17:57:10.73	-28:26:17.2	2455693.434	2011-05-11.93	3.790	0.798	1.534
2011-BLG-0374	BLG500.01	 195183	17:53:55.16	-29:04:28.7	2455715.141	2011-06-02.64	15.910	1.068	1.297
2011-BLG-0375	BLG500.18	 45897	17:54:15.35	-28:36:02.3	2455695.716	2011-05-14.22	7.362	1.958	1.064
2011-BLG-0376	BLG504.17	 82096	18:00:23.96	-27:47:57.5	2455696.407	2011-05-14.91	3.011	1.134	1.260
2011-BLG-0377	BLG506.26	 56617	17:59:48.22	-30:02:45.8	2455714.114	2011-06-01.61	43.462	0.487	2.234
2011-BLG-0378	BLG512.04	 219778	18:02:45.11	-28:57:41.0	2455695.390	2011-05-13.89	9.867	0.653	1.767
2011-BLG-0379	BLG512.24	 104979	18:01:04.78	-28:20:46.4	2455692.680	2011-05-11.18	26.189	0.090	11.17
2011-BLG-0380	BLG512.24	 147147	18:00:49.93	-28:24:13.8	2455696.777	2011-05-15.28	5.506	1.642	1.105
2011-BLG-0381	BLG513.30	 108593	18:02:15.61	-29:14:14.3	2455694.537	2011-05-13.04	18.513	1.040	1.314
2011-BLG-0382	BLG534.17	 56284	17:54:44.27	-31:00:17.7	2455697.959	2011-05-16.46	7.958	0.044	22.72
2011-BLG-0383	BLG500.11	 37616	17:53:02.20	-28:39:06.3	2455704.100	2011-05-22.60	22.093	0.094	10.63
2011-BLG-0384	BLG501.03	 197962	17:52:19.00	-30:10:09.2	2455696.199	2011-05-14.70	4.148	0.028	36.22
2011-BLG-0385	BLG501.05	 128806	17:51:09.51	-30:11:12.4	2455694.985	2011-05-13.48	2.864	0.017	57.50
2011-BLG-0386	BLG501.17	 164520	17:54:41.27	-29:34:20.1	2455701.137	2011-05-19.64	13.908	0.376	2.796
2011-BLG-0387	BLG504.15	 43134	17:55:31.47	-28:14:28.1	2455693.633	2011-05-12.13	0.070	0.151	6.676
2011-BLG-0388	BLG505.21	 133661	17:57:27.24	-29:06:18.1	2455700.651	2011-05-19.15	12.365	1.058	1.303
2011-BLG-0389	BLG506.07	 172823	17:55:06.03	-30:54:15.7	2455695.913	2011-05-14.41	5.218	1.018	1.329
2011-BLG-0390	BLG506.15	 58142	17:55:23.63	-30:38:07.7	2455694.299	2011-05-12.80	4.308	0.551	2.016
2011-BLG-0391	BLG506.27	 39655	17:59:15.98	-29:53:00.5	2455693.266	2011-05-11.77	5.116	0.120	8.409
2011-BLG-0392	BLG512.09	 173287	18:04:58.27	-28:48:24.3	2455729.612	2011-06-17.11	20.362	0.215	4.731
2011-BLG-0393	BLG512.25	 135364	18:00:10.32	-28:26:36.1	2455705.035	2011-05-23.54	21.266	1.081	1.289
2011-BLG-0394	BLG513.03	 58415	18:03:54.76	-30:14:28.9	2455697.012	2011-05-15.51	5.931	1.317	1.184
2011-BLG-0395	BLG513.12	 253	18:03:24.63	-30:07:46.9	2455777.609	2011-08-04.11	47.155	0.529	2.082
2011-BLG-0396	BLG534.08	 152316	17:54:25.80	-31:13:27.3	2455708.294	2011-05-26.79	31.160	0.223	4.574
2011-BLG-0397	BLG611.28	 149377	17:35:54.80	-26:39:47.0	2455696.937	2011-05-15.44	5.748	2.381	1.036
2011-BLG-0398	BLG500.02	 97679	17:53:25.08	-28:58:20.2	2455764.998	2011-07-22.50	108.241	1.809	1.081
2011-BLG-0399	BLG501.17	 171633	17:54:26.42	-29:49:06.5	2455698.427	2011-05-16.93	11.301	2.593	1.027
2011-BLG-0400	BLG511.13	 95345	18:02:09.95	-27:37:00.3	2455700.579	2011-05-19.08	10.197	0.000	31680
2011-BLG-0401	BLG500.31	 22849	17:50:41.66	-28:01:49.1	2455717.394	2011-06-04.89	23.236	1.212	1.224
2011-BLG-0402	BLG501.10	 170825	17:53:20.77	-29:50:37.1	2455729.964	2011-06-17.46	40.412	0.669	1.735
2011-BLG-0403	BLG505.26	 183372	17:59:20.81	-28:46:24.1	2455703.085	2011-05-21.59	7.137	0.836	1.490
2011-BLG-0404	BLG506.19	 134181	17:58:44.89	-30:24:32.6	2455696.132	2011-05-14.63	2.980	0.288	3.579
2011-BLG-0405	BLG511.03	 104820	18:03:33.57	-27:55:00.6	2455707.192	2011-05-25.69	9.119	0.519	2.118
2011-BLG-0406	BLG513.12	 113304	18:03:03.66	-29:55:55.2	2455699.321	2011-05-17.82	8.861	0.328	3.168
2011-BLG-0407	BLG534.01	 109123	17:53:52.47	-31:29:19.1	2455740.703	2011-06-28.20	75.715	0.072	13.93
2011-BLG-0408	BLG501.26	 203032	17:53:48.61	-29:15:47.5	2455697.033	2011-05-15.53	60.244	0.140	7.178
2011-BLG-0409	BLG512.11	 228551	18:03:35.96	-28:38:19.5	2455724.325	2011-06-11.82	26.602	1.721	1.093
2011-BLG-0410	BLG611.19	 75216	17:37:06.39	-26:55:18.4	2455742.297	2011-06-29.80	34.437	0.558	1.994
2011-BLG-0411	BLG500.11	 163238	17:52:22.42	-28:41:06.7	2455697.414	2011-05-15.91	4.192	2.107	1.052
2011-BLG-0412	BLG505.07	 128456	17:55:20.01	-29:45:56.6	2455704.919	2011-05-23.42	18.219	1.597	1.113
2011-BLG-0413	BLG505.08	 184369	18:00:11.98	-29:17:20.9	2455716.107	2011-06-03.61	0.248	1.341	1.176
2011-BLG-0414	BLG512.08	 6836	18:06:06.26	-28:51:49.7	2455726.678	2011-06-14.18	24.048	0.618	1.842
2011-BLG-0415	BLG514.29	 9177	18:03:27.14	-30:39:43.8	2455743.931	2011-07-01.43	30.667	0.301	3.432
2011-BLG-0416	BLG534.01	 74972	17:54:07.90	-31:27:35.1	2455698.441	2011-05-16.94	2.770	0.102	9.845
2011-BLG-0417	BLG611.22	 151676	17:34:33.12	-27:06:39.3	2455811.265	2011-09-06.76	56.460	0.253	4.044
2011-BLG-0418	BLG500.09	 31383	17:54:20.51	-28:44:18.0	2455709.199	2011-05-27.70	20.226	0.111	9.037
2011-BLG-0419	BLG500.19	 143154	17:53:16.95	-28:20:25.4	2455702.618	2011-05-21.12	4.939	0.216	4.715
2011-BLG-0420	BLG501.22	 113565	17:50:56.18	-29:49:30.2	2455766.108	2011-07-23.61	35.479	0.025	39.87
2011-BLG-0421	BLG504.19	 174804	17:58:38.78	-27:54:50.3	2455705.959	2011-05-24.46	8.787	0.045	22.46
2011-BLG-0422	BLG501.18	 98892	17:54:10.31	-29:38:26.2	2455709.500	2011-05-28.00	29.803	0.081	12.34
2011-BLG-0423	BLG512.23	 214710	18:01:24.16	-28:23:20.9	2455700.954	2011-05-19.45	32.610	1.274	1.199
2011-BLG-0424	BLG500.08	 30586	17:55:03.61	-28:40:39.3	2455732.039	2011-06-19.54	16.808	0.293	3.516
2011-BLG-0425	BLG501.12	 38138	17:52:09.47	-29:53:36.6	2455703.121	2011-05-21.62	47.486	0.078	12.87
2011-BLG-0426	BLG501.27	 14417	17:53:37.05	-29:25:55.1	2455708.459	2011-05-26.96	10.107	0.878	1.445
2011-BLG-0427	BLG504.12	 74402	17:57:39.84	-28:09:48.4	2455822.091	2011-09-17.59	100.321	0.509	2.149
2011-BLG-0428	BLG505.29	 88564	17:57:42.64	-28:43:29.9	2455707.197	2011-05-25.70	9.619	0.608	1.865
2011-BLG-0429	BLG534.02	 46517	17:53:23.15	-31:37:39.2	2455705.996	2011-05-24.50	24.999	0.073	13.75
2011-BLG-0430	BLG534.26	 89138	17:53:58.98	-30:44:34.3	2455707.686	2011-05-26.19	13.854	0.777	1.561
